產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"水泥工業","1101","台泥","一般","1428424","1258992","1205","1185","1045","973 ","7.40 %","1.45","1085","944","1.99",
"水泥工業","1102","亞泥","一般","631229","583957","468","1349","1248","1188 ","5.10 %","3.86","1085","944","1.99",
"水泥工業","1103","嘉泥","一般","125211","105289","83","1509","1269","979 ","29.60 %","0.48","1085","944","1.99",
"水泥工業","1104","環泥","一般","529942","450844","532","996","847","833 ","1.70 %","2.16","1085","944","1.99",
"水泥工業","1108","幸福","一般","282910","225994","394","718","574","573 ","0.20 %","1.22","1085","944","1.99",
"水泥工業","1109","信大","一般","279115","229290","339","823","676","676 ","0.00 %","1.38","1085","944","1.99",
"水泥工業","1110","東泥","一般","55135","44902","51","1081","880","713 ","23.40 %","0.61","1085","944","1.99",
"食品工業","1201","味全","一般","1308436","1084022","1398","936","775","743 ","4.30 %","0.87","1020","869","2.98",
"食品工業","1203","味王","一般","494474","429509","718","689","598","567 ","5.50 %","2.36","1020","869","2.98",
"食品工業","1210","大成","一般","2692585","2253949","2992","900","753","743 ","1.30 %","4.21","1020","869","2.98",
"食品工業","1213","大飲","一般","55414","46108","100","554","461","432 ","6.70 %","8.71","1020","869","2.98",
"食品工業","1215","卜蜂","一般","2343596","2019379","2454","955","823","777 ","5.90 %","6.55","1020","869","2.98",
"食品工業","1216","統一","一般","7798993","6797422","5713","1365","1190","1204 ","-1.20 %","3.64","1020","869","2.98",
"食品工業","1217","愛之味","一般","477523","397877","601","795","662","638 ","3.80 %","0.58","1020","869","2.98",
"食品工業","1218","泰山","一般","492591","407165","561","878","726","620 ","17.10 %","1.53","1020","869","2.98",
