產業類別,公司代號,公司名稱,公司類別,公司年度資訊-員工福利費用(仟元),公司年度資訊-員工薪資費用(仟元),公司年度資訊-員工人數(人),公司年度資訊-平均員工福利費用(仟元/人),公司年度資訊-平均員工薪資費用-113年度(仟元/人),公司年度資訊-平均員工薪資費用-112年度(仟元/人),公司年度資訊-平均員工薪資費用-調整變動情形(%),公司年度資訊-每股盈餘(元/股),同產業公司-平均員工福利費用(仟元/人),同產業公司-平均員工薪資費用(仟元/人),同產業公司-平均每股盈餘(元/股)
"觀光餐旅","1259","安心","一般","1948157","1595681","5629","346","283","289 ","-2.10 %","2.05","493","410","1.27",
"觀光餐旅","2754","亞洲藏壽司","一般","1389833","1160653","3660","380","317","328 ","-3.40 %","2.31","493","410","1.27",
"觀光餐旅","2729","瓦城","一般","1851065","1531333","4109","450","373","401 ","-7.00 %","9.01","493","410","1.27",
"觀光餐旅","2752","豆府","一般","1142160","943353","2530","451","373","363 ","2.80 %","15.66","493","410","1.27",
"觀光餐旅","2751","王座","一般","391840","322876","827","474","390","398 ","-2.00 %","4.55","493","410","1.27",
"紡織纖維","4420","光明","一般","65360","53327","136","481","392","497 ","-21.10 %","6.18","848","706","1.60",
"觀光餐旅","4530","宏易","一般","47046","36483","92","511","397","389 ","2.10 %","-1.28","493","410","1.27",
"居家生活","2941","米斯特","一般","185730","148124","362","513","409","352 ","16.20 %","3.31","620","518","8.76",
"觀光餐旅","7708","全家餐飲","一般","757908","652179","1542","492","423","467 ","-9.40 %","5.39","493","410","1.27",
"運動休閒","6804","明係","一般","104778","78503","183","573","429","648 ","-33.80 %","-2.14","759","629","2.07",
"電子零組件業","5464","霖宏","一般","189377","150083","344","551","436","424 ","2.80 %","1.74","972","819","2.22",
"居家生活","2947","振宇五金","一般","422034","332024","758","557","438","431 ","1.60 %","3.46","620","518","8.76",
"觀光餐旅","7723","築間","一般","1646100","1320431","2946","559","448","443 ","1.10 %","4.06","493","410","1.27",
"油電燃氣業","8927","北基","一般","512969","420822","939","546","448","419 ","6.90 %","1.29","795","666","1.79",
"文化創意業","6144","得利影","一般","57238","46018","99","578","465","458 ","1.50 %","-0.57","1614","1435","7.81",
"電子通路業","6154","順發","一般","330123","260366","560","590","465","443 ","5.00 %","0.50","1069","902","1.36",
"觀光餐旅","5905","南仁湖","一般","156653","130751","280","559","467","442 ","5.70 %","-0.51","493","410","1.27",
"電機機械","4535","至興","一般","233056","171003","363","642","471","473 ","-0.40 %","2.44","934","783","2.50",
"生技醫療業","4175","杏一","一般","1043662","852570","1790","583","476","466 ","2.10 %","1.65","956","803","0.43",
"生技醫療業","6469","大樹","一般","1395022","1093929","2285","611","479","500 ","-4.20 %","5.16","956","803","0.43",
"觀光餐旅","5701","劍湖山","一般","168530","132853","277","608","480","469 ","2.30 %","-0.52","493","410","1.27",
"居家生活","5903","全家","一般","4518747","3876519","8034","562","483","482 ","0.20 %","17.04","620","518","8.76",
"電機機械","4534","慶騰","一般","94264","76543","158","597","484","452 ","7.10 %","0.23","934","783","2.50",
"運動休閒","8933","愛地雅","一般","161695","124289","257","629","484","467 ","3.60 %","-0.74","759","629","2.07",
"居家生活","5904","寶雅","一般","3417918","2785343","5730","596","486","461 ","5.40 %","26.74","620","518","8.76",
"觀光餐旅","2740","天蔥","一般","96189","78083","160","601","488","457 ","6.80 %","-4.65","493","410","1.27",
"電機機械","3226","龍鋒","一般","118964","94222","191","623","493","474 ","4.00 %","5.56","934","783","2.50",
"塑膠工業","9950","萬國通","一般","401437","343005","689","583","498","516 ","-3.50 %","1.02","687","590","3.45",
"觀光餐旅","3252","海灣","一般","8766","7534","15","584","502","599 ","-16.20 %","-0.31","493","410","1.27",
"觀光餐旅","5703","亞都麗緻","一般","170152","144645","288","591","502","482 ","4.10 %","0.19","493","410","1.27",
"運動休閒","8928","鉅明","一般","717561","590288","1164","616","507","418 ","21.30 %","2.75","759","629","2.07",
"綠能環保","8171","天宇","一般","93405","77279","150","623","515","649 ","-20.60 %","-1.29","1068","920","3.76",
"運動休閒","9960","邁達康","一般","55513","47334","92","603","515","579 ","-11.10 %","2.03","759","629","2.07",
"觀光餐旅","8077","洛碁","一般","176661","143475","278","635","516","493 ","4.70 %","4.40","493","410","1.27",
"觀光餐旅","2736","富野","一般","130814","110667","214","611","517","479 ","7.90 %","-1.77","493","410","1.27",
"光電業","6517","保勝光學","一般","144950","116002","224","647","518","521 ","-0.60 %","3.67","1064","903","2.42",
"光電業","5315","光聯","一般","283532","229015","441","643","519","490 ","5.90 %","1.21","1064","903","2.42",
